,Phosphatidylethanolamine,Phospholipid,Cholesterol,Cardiolipin,Sphingosine,Cholesterol ester,Dsg-Phosphatidylinositol,L-alpha-Phosphatidylinositol,L-alpha-Phosphatidylglycerol,Lyso-Phosphatidate,Phosphatidylcholine,Triglyceride,Palmitic Acid,Stearic Acid,Docosahexaenoic Acid,Omega-3 25-5,Ceramide 24-0,Ceramide 22-0,Ceramide 24-1,Phosphatidylcholine 18-1,Phosphatidylethanolamine 18-1,"Ceramide 18-1,22-0","Deoxyceramide 18-1,24-1","Deoxyceramide 18-1,16-0","Dihydroceramide 18-0,14-0"
100,2757.526237,8626.571196,110.9514664,45778.44532,145.5052715,14136.53279,10568.37947,32116.84666,2921.140514,5176.075743,28402.59137,42206.41084,36743.40604,31085.01334,42868.70503,4992.139023,47272.47145,8733.152215,29991.05773,32859.83925,24514.0201,39265.45948,4730.786318,36424.07315,6312.876662
103.003003,2687.74513,8201.88586,127.72067,43278.10503,217.0338412,13917.85615,10058.28022,31289.82986,2701.914856,4686.052697,26659.22553,39315.04327,35566.67774,30332.61116,41558.85234,4916.400303,48346.5875,9141.554572,29177.09864,30532.47947,22887.60533,34969.26194,4828.30762,33416.15874,6585.530621
106.006006,2461.876112,7586.559018,129.5760178,40849.27014,243.480755,13805.78611,9652.264435,30408.10575,2437.230922,4331.502642,25132.87625,36760.19541,34281.26312,30012.27966,40492.91183,4699.934498,46700.03289,9079.718093,28066.93796,28335.04658,21369.83861,30105.67836,4828.278218,28416.21177,6721.139095
109.009009,2383.366508,7418.43725,120.7227809,38477.88922,251.6295521,13603.85577,9185.273764,29428.02611,2110.534615,4290.663039,24021.82992,34153.50704,32141.01926,29432.68188,39248.18905,4299.649405,42494.62287,8348.265777,26593.9643,26473.73911,20048.43563,26499.15411,4433.124623,23438.77798,6699.65157
112.012012,2399.507345,6963.613892,103.1916586,36077.91702,207.5357795,13139.39965,8398.612986,27465.20619,1877.24919,3900.335746,22544.89519,31530.66713,29174.97156,28403.23646,37578.8339,4130.81209,38125.92755,7263.684662,24370.94455,24901.81708,18862.37788,24583.97323,3996.34646,20088.88836,7221.324834
115.015015,2134.763514,6190.291709,103.834317,33568.5913,191.0547413,12579.93552,7712.029285,25173.25105,1740.871244,3510.63226,20879.26143,28930.96936,26426.06768,27253.08404,35993.78417,3991.890771,34825.6065,6265.134689,22019.62558,23533.70113,17732.51617,24514.22097,3561.518422,17781.96307,8151.416472
118.018018,1666.446846,5827.792931,90.32224864,31117.73297,212.4002142,11986.06781,7324.577483,23385.80666,1648.707823,3404.802657,19488.09319,26496.25346,24580.40448,26418.40199,34817.46082,3716.828267,32936.80578,5650.529065,20060.602,22308.24123,16654.82337,25716.99971,3096.708126,15663.21973,8832.571768
121.021021,1745.412543,5232.288012,106.0440697,29094.3209,238.1424472,11092.8093,6721.685518,22128.40607,1568.725972,3124.116775,18554.82432,24502.47437,23160.71734,26093.95992,33651.60074,3574.213486,32195.91904,5407.194953,18230.67556,21181.31136,15677.50483,27113.86254,2689.125599,13851.15897,8493.090246
124.024024,1540.200552,4748.72746,137.8112097,27503.06963,273.264597,10158.14087,6095.605431,21089.38864,1490.793111,2774.317109,17795.57335,22843.40864,22000.38104,25740.29583,32571.33655,3446.499003,31980.29245,5315.964338,16713.0418,20126.85081,14835.68694,27708.38449,2458.028692,12399.20557,7454.296687
127.027027,1474.320196,4517.833943,195.2991028,26171.89638,331.8695673,9431.205708,5751.575441,20275.34535,1402.798322,2599.761247,16986.28961,21361.6061,21166.83538,25030.66383,31737.13847,3228.780023,31878.45599,5225.726566,15741.5352,19166.28984,14126.60965,26751.39599,2401.959269,11212.32015,6354.431735
130.03003,1246.534177,3997.406398,283.4728168,24946.95133,400.465438,8723.377181,5560.863571,20327.61961,1280.998398,2558.755129,16342.99003,20102.91213,20796.55737,24566.94711,31030.09074,3149.254116,32036.75977,5225.972907,15191.53421,18324.86961,13538.91129,23628.40601,2313.405969,10078.3542,5469.260997
