,Phosphatidylethanolamine,Phospholipid,Cholesterol,Cardiolipin,Sphingosine,Cholesterol ester,Dsg-Phosphatidylinositol,L-alpha-Phosphatidylinositol,L-alpha-Phosphatidylglycerol,Lyso-Phosphatidate,Phosphatidylcholine,Triglyceride,Palmitic Acid,Stearic Acid,Docosahexaenoic Acid,Omega-3 25-5,Ceramide 24-0,Ceramide 22-0,Ceramide 24-1,Phosphatidylcholine 18-1,Phosphatidylethanolamine 18-1,"Ceramide 18-1,22-0","Deoxyceramide 18-1,24-1","Deoxyceramide 18-1,16-0","Dihydroceramide 18-0,14-0"
2700,0.015225915,0.03463548,0.033578829,0.03347314,0.040538667,0.042711933,0.038786043,0.036576361,0.040096646,0.017017861,0.031279795,0.019472708,0.020908164,0.017141954,0.000687722,0.005963102,0.035287379,0.037735969,0.010697269,0.050928773,0.06243072,0.047640553,0.020056101,0.026655707,0.02086896
2702.01005,0.018153081,0.033719161,0.034799912,0.034867255,0.043587076,0.045397484,0.042737164,0.039889338,0.044048887,0.021107893,0.034719852,0.021007953,0.021649739,0.018993987,0,0,0.038282,0.040313874,0.015572129,0.053057774,0.064781024,0.050389695,0.022373013,0.028479012,0.024118335
2704.020101,0.026908947,0.03814223,0.034754645,0.036495434,0.045866661,0.050891423,0.042014914,0.040335446,0.046676114,0.028106511,0.038164571,0.023646285,0.022999344,0.021136888,0.000488637,0.00537626,0.04105733,0.0422426,0.020837414,0.05575028,0.067380858,0.053496343,0.022846579,0.031018745,0.027615764
2706.030151,0.026061716,0.042044153,0.035125757,0.03949238,0.048137724,0.056290314,0.044881128,0.044499286,0.050645059,0.033571195,0.041571886,0.02595671,0.025302374,0.023453753,0.001501052,0.011161628,0.044612563,0.045546451,0.022199699,0.058971431,0.070336379,0.05694851,0.026632756,0.034682384,0.029248192
2708.040201,0.028083124,0.043087436,0.037805869,0.042768621,0.052982823,0.062786517,0.05050634,0.04936313,0.055517876,0.032782952,0.044923869,0.02819364,0.027827046,0.026157015,0.002194753,0.020503326,0.047803627,0.049055669,0.025679209,0.062578067,0.073653314,0.060750073,0.031425141,0.039035336,0.033553957
2710.050251,0.032217986,0.043714656,0.039988309,0.045848097,0.053570605,0.072729212,0.054543133,0.052837911,0.060951827,0.030419287,0.048843802,0.031124741,0.030102197,0.02955828,0.002776742,0.026135808,0.050562687,0.052547839,0.032200651,0.065963009,0.076786567,0.065047479,0.032296515,0.04354338,0.041997963
2712.060302,0.041364798,0.045735832,0.04686458,0.049497387,0.054474715,0.08293975,0.057296772,0.059023363,0.067868034,0.036003122,0.053813497,0.034210789,0.032557402,0.033652707,0.003788743,0.012940629,0.054617428,0.057393845,0.033740799,0.068405671,0.079047167,0.070020159,0.030466861,0.047637614,0.048760034
2714.070352,0.043493051,0.050907923,0.054403934,0.052920536,0.060169907,0.083508323,0.060093344,0.063878156,0.072492988,0.041796896,0.057394051,0.036300206,0.035247919,0.038097729,0.004651628,0.01578165,0.058010549,0.059318533,0.03600068,0.069956044,0.080418063,0.075562137,0.033928636,0.049727193,0.052922763
2716.080402,0.035122175,0.045259597,0.058018148,0.055439068,0.063960296,0.081468288,0.064366068,0.068660114,0.073690063,0.042744869,0.059038966,0.038773993,0.038790312,0.043041088,0.005782542,0.029435633,0.061335216,0.06241348,0.039247705,0.071491464,0.081603645,0.081261001,0.038605665,0.051935752,0.06008103
2718.090452,0.041255807,0.052664264,0.056236481,0.057545873,0.066326683,0.078618069,0.065643984,0.072866113,0.073776264,0.040440818,0.060714691,0.041245044,0.043533676,0.048006921,0.007960118,0.036974437,0.064803557,0.067291278,0.042500881,0.073600624,0.083170431,0.086600558,0.041204175,0.055219595,0.06737506
2720.100503,0.044022312,0.054185271,0.049959103,0.059500497,0.07170794,0.071742012,0.062634404,0.073828917,0.075242361,0.039577104,0.063723862,0.042434787,0.048977661,0.052001761,0.011495626,0.037606451,0.067332494,0.069816029,0.046333135,0.075650086,0.085041582,0.090735537,0.044833397,0.059139577,0.068573674
2722.110553,0.047434018,0.055401872,0.042666825,0.060907397,0.076386517,0.071407455,0.068286729,0.074257987,0.077238082,0.042335643,0.065541891,0.044794912,0.053982994,0.054607684,0.01566256,0.040813076,0.068867938,0.071417436,0.049671424,0.076779303,0.08699006,0.092777926,0.050675686,0.065214573,0.071212431
2724.120603,0.046020273,0.055585195,0.041237486,0.061773665,0.077064273,0.071729798,0.071567365,0.076227871,0.080005841,0.047082875,0.06662954,0.048151936,0.057518043,0.054850126,0.017937076,0.041980029,0.069233579,0.071839952,0.051064634,0.077069277,0.08877184,0.092401189,0.051844663,0.069306786,0.073350498
