DOPC ,,,DOPE ,,,DSPC ,,,Glucosylceramide (Gaucher's Spleen) ,,,Cholesterol (ovine) ,,,PC Mix ,,,PE Mix ,,,PS Mix ,,,PG Mix,,,PI Mix ,,,18:1 LPA ,,,C8 L-Carnitine ,,,C12 Carnitine ,,,C16 Carnitine ,,,C18 Carnitine (d9-cis) ,,,Cer 18:1-18:1 ,,,Cer 18:1-22:0 ,,,Cer 18:1-24:0 ,,,16:0 CDP DG ,,,18:0 Lyso PA ,,,18:1 Cholesterol Ester ,,,Kidney Background,,,16:0 Cardiolipin ,,,TAG Mix ,,,Cer 18:1-12:0 ,,,Cer 18:1-24:1 ,,,Cer 18:1-18:0 ,,,DAG 16:0 ,,,DAG 18:0 and 24:0 ,,,TAG 16:0 ,,,TAG 18:1 ,,,Palmitic Acid,,,Stearic Acid,,,Docosahexaenoic Acid,,,Tetracosapentaenoic Acid,,,Sphingosine,
401.361,0.022273175,,401.361,0.013574098,,400.455,0.770793479,,401.361,0.012488102,,401.361,0.113938496,,41.5411,0.022903214,,400.455,0.017181627,,41.5411,0.028726932,,40.3804,3098.51,,40.3804,0.133295271,,40.3804,0.050591069,,401.361,0.021080553,,401.361,0.120306862,,401.361,0.014667963,,401.361,0.044477587,,400.455,1.902338713,,40.3804,1.220730972,,40.3804,1.16501082,,41.5411,0.022984421,,41.5411,0.115410242,,401.361,-0.011633095,,400.455,0.101877291,,42.0001,0.202761173,,401.361,0.155648941,,45.0929,0,,40.3804,-0.22833876,,403.788,0.015267679,,403.788,0.0158261,,403.788,0.016733203,,403.788,0.007829377,,403.788,-0.00185312,,40.3804,11132,,40.3804,6128,,40.3804,19972,,40.3804,3774,,100,303.232
403.171,0.02376868,,403.171,0.014032971,,407.69,0.875291745,,403.171,0.013014991,,403.171,0.107667646,,43.8598,0.020790525,,407.69,0.037277378,,43.8598,0.02638846,,45.02,3127.04,,45.02,0.144017452,,45.02,0.071868721,,403.171,0.034022337,,403.171,0.123773916,,403.171,0.018837116,,403.171,0.051866551,,407.69,2.074762783,,45.02,1.219317155,,45.02,1.165048217,,43.8598,0.018388498,,43.8598,0.096867571,,403.171,-0.008913332,,407.69,0.251961658,,46.5167,0.208720538,,403.171,0.161630938,,52.6811,0.129043973,,45.02,-0.210652397,,408.15,0.018903073,,408.15,0.014114064,,408.15,0.018220223,,408.15,0.003849985,,408.15,-0.003393424,,45.02,12922.4,,45.02,8099.59,,45.02,19741.1,,45.02,3617.07,,100.735,326.779
404.978,0.027758205,,404.978,0.017195872,,414.92,0.944455683,,404.978,0.014107183,,404.978,0.104572454,,46.1779,0.021003281,,414.92,0.054128036,,46.1779,0.028985559,,49.653,3432.85,,49.653,0.26056935,,49.653,0.212800559,,404.978,0.055561107,,404.978,0.126708796,,404.978,0.020316723,,404.978,0.051444883,,414.92,2.254640748,,49.653,1.224225877,,49.653,1.16952382,,46.1779,0.023998111,,46.1779,0.100898746,,404.978,-0.011244462,,414.92,0.428099486,,51.0268,0.277256397,,404.978,0.163922885,,60.261,0.340006146,,49.653,-0.097638146,,412.511,0.020147188,,412.511,0.016742309,,412.511,0.016475762,,412.511,0.008100816,,412.511,0.004886204,,49.653,22740.8,,49.653,13997.2,,49.653,25724.2,,49.653,4486.14,,101.47,347.487
406.787,0.033611891,,406.787,0.021687414,,422.14,0.98730689,,406.787,0.015689802,,406.787,0.109111057,,48.4934,0.029556072,,422.14,0.065886108,,48.4934,0.041766742,,54.2816,4586.06,,54.2816,0.421429728,,54.2816,0.414815922,,406.787,0.083900047,,406.787,0.12981585,,406.787,0.025492274,,406.787,0.058256187,,422.14,2.339445296,,54.2816,1.229793314,,54.2816,1.175503836,,48.4934,0.042355752,,48.4934,0.097579657,,406.787,-0.012113096,,422.14,0.517771899,,55.5326,0.375759938,,406.787,0.166723683,,67.8305,0.266017876,,54.2816,0.065664545,,416.867,0.01681992,,416.867,0.014539244,,416.867,0.016059989,,416.867,0.009076107,,416.867,0.005979347,,54.2816,34349.2,,54.2816,19942.8,,54.2816,40109.3,,54.2816,6839.22,,102.205,360.569
408.596,0.038185884,,408.596,0.025894261,,429.354,1.010029177,,408.596,0.016554056,,408.596,0.123316284,,50.8103,0.042853155,,429.354,0.069207915,,50.8103,0.05831907,,58.9057,5619.11,,58.9057,0.666491494,,58.9057,0.742020173,,408.596,0.105317894,,408.596,0.133460194,,408.596,0.028187249,,408.596,0.064415195,,429.354,2.397172819,,58.9057,1.240532329,,58.9057,1.185929296,,50.8103,0.075540627,,50.8103,0.090544912,,408.596,-0.012251703,,429.354,0.50476073,,60.0341,0.519073955,,408.596,0.16874013,,75.396,0.245437037,,58.9057,0.299638,,421.217,0.011629501,,421.217,0.013030183,,421.217,0.012124148,,421.217,0.005190786,,421.217,-0.002723143,,58.9057,56747.6,,58.9057,33768.4,,58.9057,60824.4,,58.9057,9842.29,,102.939,373.592
410.404,0.040974774,,410.404,0.02838809,,436.56,1.025173756,,410.404,0.019149417,,410.404,0.13802201,,53.1246,0.054529428,,436.56,0.071343265,,53.1246,0.075810104,,63.5254,6248.98,,63.5254,0.777379895,,63.5254,0.895794113,,410.404,0.111880882,,410.404,0.139046547,,410.404,0.027856016,,410.404,0.071051507,,436.56,2.418500681,,63.5254,1.24651618,,63.5254,1.191941885,,53.1246,0.107772604,,53.1246,0.090996815,,410.404,-0.009571112,,436.56,0.478805257,,64.5291,0.595153014,,410.404,0.16981744,,82.9511,0.186696545,,63.5254,0.411873856,,425.563,0.014304092,,425.563,0.014097389,,425.563,0.012646662,,425.563,0.008806664,,425.563,0.007382564,,63.5254,108072,,63.5254,53888,,63.5254,80563.5,,63.5254,12413.4,,103.674,386.764
412.21,0.043619361,,412.21,0.030308095,,443.759,1.03676724,,412.21,0.020575794,,412.21,0.160467208,,55.4383,0.069267249,,443.759,0.073418971,,55.4383,0.096428003,,68.1428,5865.69,,68.1428,0.695235733,,68.1428,0.836074761,,412.21,0.102403852,,412.21,0.14383385,,412.21,0.030395288,,412.21,0.073997476,,443.759,2.446249935,,68.1428,1.246276152,,68.1428,1.191404986,,55.4383,0.147394176,,55.4383,0.09931834,,412.21,-0.004491143,,443.759,0.469589428,,69.0198,0.549498812,,412.21,0.172040326,,90.4981,0.176944708,,68.1428,0.364006315,,429.907,0.014410527,,429.907,0.01455558,,429.907,0.014411117,,429.907,0.010002453,,429.907,0.011758817,,68.1428,122772,,68.1428,55323.5,,68.1428,78868.6,,68.1428,11870.4,,104.409,398.309
414.017,0.044645755,,414.017,0.031328823,,450.949,1.050382133,,414.017,0.022340096,,414.017,0.181824569,,57.7493,0.086919347,,450.949,0.075523303,,57.7493,0.123771827,,72.7558,5209.99,,72.7558,0.620902287,,72.7558,0.801805943,,414.017,0.076782342,,414.017,0.148882061,,414.017,0.029995086,,414.017,0.079072116,,450.949,2.451584389,,72.7558,1.245142266,,72.7558,1.190431439,,57.7493,0.207421097,,57.7493,0.119228053,,414.017,0.00239041,,450.949,0.452931759,,73.5084,0.503514732,,414.017,0.175027675,,98.0389,0.203320101,,72.7558,0.332877265,,434.245,0.015860354,,434.245,0.016366686,,434.245,0.015937237,,434.245,0.012537925,,434.245,0.008416254,,72.7558,86434.8,,72.7558,47217.1,,72.7558,70659.8,,72.7558,10377.5,,105.144,404.038
415.822,0.045430838,,415.822,0.032161358,,458.135,1.05000885,,415.822,0.024448203,,415.822,,,60.0619,0.108623614,,458.135,0.074940404,,60.0619,0.155628701,,77.3623,4614.39,,77.3623,0.584551588,,77.3623,0.783025766,,415.822,0.049216333,,415.822,0.155526194,,415.822,0.033257449,,415.822,0.081231002,,458.135,2.462922662,,77.3623,1.241676664,,77.3623,1.189882477,,60.0619,0.282748066,,60.0619,0.138136242,,415.822,0.013127107,,458.135,0.442190558,,77.9906,0.474229221,,415.822,0.172754728,,105.571,0.152694957,,77.3623,0.322866116,,438.581,0.014596421,,438.581,0.016482064,,438.581,0.014783075,,438.581,0.012539192,,438.581,0.004037373,,77.3623,68961.2,,77.3623,46578.7,,77.3623,66918.9,,77.3623,9672.58,,105.879,401.551
417.629,0.044935131,,417.629,0.032612223,,465.312,1.048667273,,417.629,0.025105205,,417.629,0.192544851,,62.3717,0.122116032,,465.312,0.07573822,,62.3717,0.177413296,,81.9644,4193.35,,81.9644,0.537592893,,81.9644,0.737404393,,417.629,0.030815316,,417.629,0.158058425,,417.629,0.042518963,,417.629,0.075867351,,465.312,2.476121362,,81.9644,1.242504155,,81.9644,1.189989844,,62.3717,0.343743013,,62.3717,0.156112019,,417.629,0.030569669,,465.312,0.456191983,,82.4685,0.442861253,,417.629,0.175830536,,113.098,0.119876559,,81.9644,0.299296796,,442.91,0.016143313,,442.91,0.014408378,,442.91,0.015395813,,442.91,0.013861676,,442.91,0.01134146,,81.9644,67649.6,,81.9644,43740.3,,81.9644,63052,,81.9644,8811.65,,106.614,402.154
419.434,0.044864418,,419.434,0.033219728,,472.48,1.039221886,,419.434,0.024186736,,419.434,0.203774954,,64.681,0.126717091,,472.48,0.075375734,,64.681,0.179484587,,86.5642,3710.86,,86.5642,0.475649116,,86.5642,0.672296633,,419.434,0.023163972,,419.434,0.153758304,,419.434,0.04232383,,419.434,0.074735715,,472.48,2.447215383,,86.5642,1.23999999,,86.5642,1.187792969,,64.681,0.351484577,,64.681,0.146882107,,419.434,0.04785977,,472.48,0.450997821,,86.9399,0.402211039,,419.434,0.176194766,,120.614,0.133214844,,86.5642,0.257370703,,447.238,0.014319961,,447.238,0.016012771,,447.238,0.013660669,,447.238,0.009393738,,447.238,0.014934478,,86.5642,57718,,86.5642,41691.9,,86.5642,56851.1,,86.5642,7936.72,,107.349,407.992
421.238,0.044789935,,421.238,0.033488418,,479.642,1.030964096,,421.238,0.023183613,,421.238,0.204879688,,66.9876,0.11732091,,479.642,0.075270895,,66.9876,0.172573518,,91.1596,3251.05,,91.1596,0.430968242,,91.1596,0.602927158,,421.238,0.025260624,,421.238,0.150227351,,421.238,0.042434399,,421.238,0.076119962,,479.642,2.432113522,,91.1596,1.238366588,,91.1596,1.184742039,,66.9876,0.348122019,,66.9876,0.140419348,,421.238,0.06726286,,479.642,0.450970561,,91.4092,0.367096847,,421.238,0.175535913,,128.122,0.127708147,,91.1596,0.220738896,,451.561,0.012741614,,451.561,0.016597402,,451.561,0.015116208,,451.561,0.009301212,,451.561,0.017247624,,91.1596,46838.4,,91.1596,39051.5,,91.1596,51296.2,,91.1596,6647.79,,108.083,413
423.043,0.045637354,,423.043,0.033644694,,486.795,1.018807944,,423.043,0.021590999,,423.043,0.205375128,,69.2979,0.109156422,,486.795,0.07351932,,69.2979,0.159309903,,95.7506,2982.66,,95.7506,0.406425201,,95.7506,0.551578939,,423.043,0.026598865,,423.043,0.145773713,,423.043,0.038721921,,423.043,0.07556273,,486.795,2.404576977,,95.7506,1.237058815,,95.7506,1.184824012,,69.2979,0.34548741,,69.2979,0.142774018,,423.043,0.083064894,,486.795,0.435328612,,95.8722,0.339867572,,423.043,0.177177172,,135.622,0.070886368,,95.7506,0.206859768,,455.88,0.015266652,,455.88,0.017995772,,455.88,0.015043297,,455.88,0.011763856,,455.88,0.013222331,,95.7506,40794.8,,95.7506,35381.1,,95.7506,47423.3,,95.7506,6012.87,,108.818,410.866
